Identifier,Ct,Gene,Efficiancy ,Ben_abs,Ben_rel
528,34.86,LWSr,0.8316551,0.7856,0.9154
528,35.69,LWSr,0.8316551,0.7856,0.9154
529,35.04,LWSr,0.8316551,0.7856,0.9154
529,34.69,LWSr,0.8316551,0.7856,0.9154
530,40,LWSr,0.8316551,0.7856,0.9154
530,36.78,LWSr,0.8316551,0.7856,0.9154
530,40,LWSr,0.8316551,0.7856,0.9154
590,40,LWSr,0.8316551,0.7856,0.9154
590,40,LWSr,0.8316551,0.7856,0.9154
591,40,LWSr,0.8316551,0.7856,0.9154
591,40,LWSr,0.8316551,0.7856,0.9154
592,34.82,LWSr,0.8316551,0.7856,0.9154
592,35.62,LWSr,0.8316551,0.7856,0.9154
593,34.91,LWSr,0.8316551,0.7856,0.9154
593,34.66,LWSr,0.8316551,0.7856,0.9154
594,36.96,LWSr,0.8316551,0.7856,0.9154
594,35.85,LWSr,0.8316551,0.7856,0.9154
595,40,LWSr,0.8316551,0.7856,0.9154
595,36.83,LWSr,0.8316551,0.7856,0.9154
596,38.09,LWSr,0.8316551,0.7856,0.9154
596,40,LWSr,0.8316551,0.7856,0.9154
596,36.58,LWSr,0.8316551,0.7856,0.9154
200,27,RH2-1,1.101161,0.7844,0.914
200,27.23,RH2-1,1.101161,0.7844,0.914
200,40,RH2-1,1.101161,0.7844,0.914
201,26.67,RH2-1,1.101161,0.7844,0.914
201,26.65,RH2-1,1.101161,0.7844,0.914
202,28.22,RH2-1,1.101161,0.7844,0.914
202,28.19,RH2-1,1.101161,0.7844,0.914
203,32.05,RH2-1,1.101161,0.7844,0.914
203,32.08,RH2-1,1.101161,0.7844,0.914
204,24.85,RH2-1,1.101161,0.7844,0.914
204,24.93,RH2-1,1.101161,0.7844,0.914
205,25.66,RH2-1,1.101161,0.7844,0.914
205,25.72,RH2-1,1.101161,0.7844,0.914
206,24.61,RH2-1,1.101161,0.7844,0.914
206,24.63,RH2-1,1.101161,0.7844,0.914
242,27.2,RH2-1,1.101161,0.7844,0.914
244,24.78,RH2-1,1.101161,0.7844,0.914
244,24.52,RH2-1,1.101161,0.7844,0.914
245,25.6,RH2-1,1.101161,0.7844,0.914
245,25.71,RH2-1,1.101161,0.7844,0.914
246,23.09,RH2-1,1.101161,0.7844,0.914
246,23.4,RH2-1,1.101161,0.7844,0.914
247,23.89,RH2-1,1.101161,0.7844,0.914
247,23.91,RH2-1,1.101161,0.7844,0.914
248,26.77,RH2-1,1.101161,0.7844,0.914
248,26.89,RH2-1,1.101161,0.7844,0.914
249,27.13,RH2-1,1.101161,0.7844,0.914
249,26.93,RH2-1,1.101161,0.7844,0.914
260,32.12,RH2-1,1.101161,0.7844,0.914
260,32.85,RH2-1,1.101161,0.7844,0.914
260,40,RH2-1,1.101161,0.7844,0.914
261,31.78,RH2-1,1.101161,0.7844,0.914
261,33.43,RH2-1,1.101161,0.7844,0.914
262,31.12,RH2-1,1.101161,0.7844,0.914
262,31.24,RH2-1,1.101161,0.7844,0.914
264,26.85,RH2-1,1.101161,0.7844,0.914
