Gene	Identifier	Efficiency	meanCT	CT_stdev	expression	total_cone	percent_cone	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
LWS2	596	0.7751	40	0	1.0742046799842e-10	1.025951185052418e-6	1.0470329345438756e-4	MX14-596	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS3	200	0.7856	31.04	0.09899494936611705	1.5297453365843655e-8	4.649054898012237e-7	0.032904436926275656	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS3	201	0.7856	31.62	0.2545584412271567	1.0929097870883125e-8	8.009655839596152e-7	0.013644903214011466	MX14-201	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS3	202	0.7856	31.245	0.37476659402887097	1.3583240229980708e-8	3.6224405767760676e-7	0.03749748254550981	MX14-202	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS3	203	0.7856	31.395	0.24748737341529264	1.245190374891029e-8	3.440075307108512e-7	0.03619660221734069	MX14-203	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS3	204	0.7856	30.22	0.042426406871191945	2.460833120062326e-8	1.7456360196346267e-6	0.014097057418518409	MX14-204	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS3	205	0.7856	28.744999999999997	0.13435028842544494	5.787137814341792e-8	1.7078019717432863e-6	0.03388646874809736	MX14-205	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS3	206	0.7856	29.060000000000002	0.05656854249492511	4.821162933248976e-8	2.082998493462278e-6	0.023145302065175424	MX14-206	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS3	242	0.7856	35.34	0.933380951166243	1.2645825239108266e-9	5.810645288182925e-7	0.0021763202900762168	MX14-242	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS3	244	0.7856	31.810000000000002	0.014142135623730649	9.789157621991688e-9	1.5412766303366608e-6	0.006351330727601731	MX14-244	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
